osm_id,osm_type,is_in,name,population,admin_level,place,boundary,longitude,latitude,geom_type
18904256,relations,,Urbanización La Sorpresa,,"9",,administrative,-68.0600802944785,10.4719926542101,POLYGON
3446032,relations,,Parroquia El Pao,,"7",,administrative,-68.0337409162266,9.71729306485708,POLYGON
19135975,relations,,Las Tiamitas,,"8",,administrative,-67.8496846227045,10.0891955135097,POLYGON
18968304,relations,,Agua Dulce,,"8",,administrative,-67.9273461715635,10.1105788782236,POLYGON
18968305,relations,,Caño Seco,,"8",,administrative,-67.9323594004492,10.1079283866859,POLYGON
11023962,relations,,Parroquia Ocumare,,"7",,administrative,-67.7573346813503,10.4209482340635,POLYGON
15651633,relations,,Parroquia Cuyagua,,"7",,administrative,-67.6756250152581,10.4447876016484,POLYGON
11223120,relations,,Conjunto Residencial Los Andes I,,,neighbourhood,,-67.9625818969504,10.2227847272883,POLYGON
11023973,relations,,Parroquia San Martín de Porres,,"7",,administrative,-67.5724656512385,10.1519424485173,POLYGON
18762461,relations,,Sector 1 Barrio la Democracia,,"10",,administrative,-67.9968075998674,10.1315629314656,POLYGON
4141769,relations,,Parroquia Santa Rosa,,"7",,administrative,-67.9962397609385,10.1363559977212,POLYGON
17899875,relations,,Uva de Playa,,"9",,administrative,-68.0939742554015,10.4795284380119,POLYGON
18924756,relations,,Santa Lucía,,"9",,administrative,-68.0998533991381,10.4754806624363,POLYGON
18924757,relations,,Chupulún,,"9",,administrative,-68.0967804975666,10.4715106318213,POLYGON
17908370,relations,,La Pedrera (Morón),,"9",,administrative,-68.2187481899308,10.4719519373426,POLYGON
10832858,relations,,Parroquia San Joaquín,,"7",,administrative,-67.7887751258251,10.2627833707627,POLYGON
10833247,relations,,Municipio San Joaquín,"64124","6",,administrative,-67.7887751258251,10.2627833707627,POLYGON
16454401,relations,,Puerto Cabello,,"8",,administrative,-68.046570225761,10.4681897075411,POLYGON
10833240,relations,,Municipio Libertador,"166166","6",,administrative,-68.1292651147482,10.0355949498177,POLYGON
10832873,relations,,Parroquia Bejuma,,"7",,administrative,-68.2571014595962,10.1337338518354,POLYGON
11022334,relations,,Parroquia Chuao,,"7",,administrative,-67.5056041300785,10.4290891298754,POLYGON
10832865,relations,,Parroquia Yagua,,"7",,administrative,-67.9104418505142,10.2687099631089,POLYGON
18306324,relations,,La Paraguita,,"8",,administrative,-68.1662552291341,10.4816642782918,POLYGON
17903522,relations,,Independencia,,"8",,administrative,-67.7730871669445,10.4822626958942,POLYGON
10832063,relations,,Parroquia Montalbán,,"7",,administrative,-68.3350403085246,10.2095336492029,POLYGON
15612467,relations,,Parroquia La Cabrera,,"7",,administrative,-67.6955656767404,10.2387524158028,POLYGON
4141664,relations,,Parroquia El Socorro,,"7",,administrative,-68.0160028832664,10.1828799517066,POLYGON
19184712,relations,,Guamacho Norte,,"9",,administrative,-67.7237014279295,10.2938292782328,POLYGON
10832051,relations,,Parroquia Morón,,"7",,administrative,-68.2179322919996,10.4386972543067,POLYGON
19184436,relations,,Río Abajo,,"8",,administrative,-68.2850921858016,10.4806047942646,POLYGON
11023960,relations,,Parroquia Caña de Azúcar,,"7",,administrative,-67.634636919299,10.277560744809,POLYGON
18966748,relations,,Altos de Guataparo,,"10",,administrative,-68.0454693407395,10.1773464091938,POLYGON
18924759,relations,,Los Lanceros,,"9",,administrative,-68.0916083689789,10.4675539695476,POLYGON
16501945,relations,,Urbanización San Esteban,,"9",,administrative,-68.0233317906471,10.4592225945609,POLYGON
18321684,relations,,Gavilero,,"8",,administrative,-68.0151296427018,9.94695039160881,POLYGON
17903080,relations,,La Raya,,"8",,administrative,-68.4099514359417,10.4420835010002,POLYGON
17900232,relations,,Santa Cruz,,"9",,administrative,-68.044409253283,10.4515561454097,POLYGON
4141783,relations,,Parroquia San Blas,,"7",,administrative,-67.9923719087562,10.1805281554173,POLYGON
11223119,relations,,Conjunto Residencial Los Andes II,,,neighbourhood,,-67.9605012923254,10.2235695200271,POLYGON
10832863,relations,,Parroquia Negro Primero,,"7",,administrative,-67.943938074037,9.90024767877527,POLYGON
10832866,relations,,Parroquia Rafael Urdaneta,,"7",,administrative,-67.9590088191595,10.1366757272973,POLYGON
15612711,relations,,Parroquia Agua Dulce,,"7",,administrative,-67.8940327076041,10.1247432567389,POLYGON
10832050,relations,,Parroquia Canoabo,,"7",,administrative,-68.3117528469107,10.326938614358,POLYGON
15612904,relations,,Parroquia Aguirre,,"7",,administrative,-68.2770326644361,10.2257242638608,POLYGON
10832860,relations,,Parroquia Aguas Calientes,,"7",,administrative,-67.6815995167123,10.3100149168742,POLYGON
10832862,relations,,Parroquia Borburata,,"7",,administrative,-67.9639700048774,10.4295363588919,POLYGON
17900035,relations,,Quizandal,,"8",,administrative,-67.9705005177782,10.4747285382969,POLYGON
19737170,relations,,Barrio San Pedro,,"9",,administrative,-68.0235006981418,10.4695458397141,POLYGON
10833248,relations,,Municipio Diego Ibarra,"104536","6",,administrative,-67.7013259094907,10.2744063888369,POLYGON
9998350,relations,,Municipio Mariño,"211010","6",,administrative,-67.4894924642894,10.373856832364,POLYGON
11023955,relations,,Municipio Libertador,"114355","6",,administrative,-67.5906870690746,10.1730852750841,POLYGON
11023956,relations,,Municipio Linares,"123122","6",,administrative,-67.535936176309,10.202967879898,POLYGON
11023958,relations,,Parroquia Andrés Eloy Blanco,,"7",,administrative,-67.6051056385758,10.2632679718089,POLYGON
10833253,relations,,Municipio Miranda,"29092","6",,administrative,-68.3662272688053,10.1098052907809,POLYGON
11126508,relations,,Municipio Veroes,"27840","6",,administrative,-68.5085794573225,10.4418862209513,POLYGON
10833251,relations,,Municipio Bejuma,"48538","6",,administrative,-68.2598485658248,10.2375039667838,POLYGON
10833252,relations,,Municipio Montalbán,"24908","6",,administrative,-68.3131374840234,10.2156469847294,POLYGON
16502514,relations,,Urama,,"8",,administrative,-68.3160555524599,10.4564130946869,POLYGON
11126458,relations,,Parroquia Temerla,,"7",,administrative,-68.4322237852401,10.2838428317408,POLYGON
11126457,relations,,Parroquia El Guayabo,,"7",,administrative,-68.5172758233384,10.3632668171659,POLYGON
272743,relations,,Yaracuy,"600852","4",state,administrative,-68.7376505344724,10.2633747199812,POLYGON
